query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1
21,1.452,1.156,1229.801,4.623,7.154,1.509,7.324,1252.577,4.211
22,1.456,1.761,1226.856,3.146,6.494,1.525,1.791,1249.413,2.543
23,1.446,2.357,1205.299,2.895,6.414,1.553,6.156,1251.46,2.748
24,1.449,1.838,1203.51,5.116,6.643,1.539,1.889,1227.134,2.76
25,1.455,2.263,1229.308,2.951,6.49,1.53,7.081,1247.248,4.383
26,1.459,1.739,1201.712,2.774,6.419,1.512,1.767,1250.826,2.727
27,1.461,1.779,1198.233,2.929,6.548,1.604,13.872,1275.427,2.788
28,1.449,1.805,1241.929,2.868,6.9,1.566,1.858,1255.1,2.783
29,1.453,1.755,1214.021,2.895,6.486,1.56,6.629,1248.406,4.573
30,1.446,1.78,1197.616,2.817,6.392,1.57,1.811,1248.466,2.782
31,1.466,1.781,1206.707,5.401,6.442,1.536,8.573,1256.853,2.72
32,1.364,1.704,1226.65,4.585,7.12,1.536,1.926,1259.439,2.655
33,1.485,1.779,1230.594,4.682,7.029,1.533,6.176,1257.882,2.683
34,1.457,1.775,1226.006,4.702,6.806,1.574,1.816,1257.397,5.285
35,1.475,1.643,1231.714,4.665,6.809,1.602,1.943,1268.052,2.756
36,1.468,1.79,1232.117,2.929,7.138,1.588,1.944,1261.483,2.699
37,1.469,1.643,1205.045,2.966,6.762,1.549,7.204,1251.171,2.491
38,1.451,1.797,1208.422,6.021,6.656,1.606,21.796,1319.879,2.799
39,1.489,1.92,1239.47,4.804,7.123,1.5,7.358,1277.543,2.888
40,1.444,1.785,1222.003,4.833,7.04,1.472,6.624,1249.847,2.511
41,1.336,1.797,1276.351,6.014,6.874,1.359,1.994,1227.255,2.611
42,1.366,2.176,1243.644,4.374,6.799,1.314,15.328,1298.631,4.445
43,1.309,1.811,1222.071,4.302,6.983,1.314,2.359,1257.643,2.442
44,1.274,1.78,1220.364,7.111,7.069,1.381,8.31,1250.239,2.634
45,1.306,2.597,1245.86,4.523,6.755,1.352,2.078,1233.615,4.513
46,1.335,1.733,1218.387,4.363,7.171,1.342,2.783,1242.905,2.632
47,1.899,1.786,1224.368,4.657,7.897,1.596,11.02,1268.741,2.441
48,1.284,1.964,1229.996,4.187,7.574,1.529,7.148,1253.156,2.618
49,1.297,1.918,1224.948,4.075,6.909,1.555,7.642,1256.946,2.653
50,6.947,1.596,1220.338,4.073,7.994,1.526,6.58,1245.246,2.507
