query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0
58,1.451,0.907,2385.12,6.095
59,1.426,1.034,2389.504,3.66
60,1.461,0.906,2393.549,3.127
61,1.389,0.925,2375.807,2.965
62,1.459,1.001,2424.543,2.6
63,1.441,0.744,2379.019,6.62
64,1.39,1.042,2455.918,2.927
65,1.376,0.891,2381.54,4.977
66,1.614,1.04,2407.094,3.128
67,1.344,0.96,2382.204,3.113
68,1.384,0.819,2389.803,3.378
69,1.367,1.08,2389.693,6.272
70,1.387,1.003,2437.442,3.09
71,1.376,1.03,2400.797,3.12
72,1.357,0.773,2395.309,2.962
73,1.351,1.021,2387.571,5.959
74,1.354,0.96,2415.535,3.07
75,1.35,0.826,2403.877,3.109
76,1.448,0.907,2390.071,3.707
77,1.346,0.903,2395.288,3.169
78,1.395,0.83,2392.32,3.645
79,1.355,0.78,2411.153,3.063
80,1.365,0.926,2383.159,3.78
81,1.366,0.901,2429.589,8.909
82,1.354,1.002,2427.1,3.696
83,1.335,0.908,2437.152,3.735
84,1.351,0.972,2398.734,3.178
85,1.355,0.828,2432.15,5.866
86,1.453,0.987,2413.479,3.575
87,1.35,0.956,2409.596,3.452
